NazRudy ; 380665456478
#участок номер один ;35 27
#начальник участка номер один хижняк владимир иванович ;34 06 ... короткий по шлюзу 14
#распреед первой бис лавы ;37 73 ... бит штси номер семь
#пятнадцатая сбойка ;37 46
#пятнадцатая сбойка и посадочная площадка рп номер восемь ;37 48
#конвеерная выработка первой бис лавы и лебёдка ;37 74
#лебёдка вентиляционной выработки первой бис лавы ;37 75
#компрессор первой бис лавы ;37 07
#низ первой бис лавы ;37 79
#первая лента первой бис лавы и шестой заезд ;37 88
#вторая лента первой бис лавы и третья лента первой бис лавы ;37 85
#участок номер два ;34 05
#начальник участка номер два савченко дмитрий викторович ;33 42 ... короткий по шлюзу 22
#первая лента пятнадцатой лавы ;37 44
#распред пятнадцатой лавы ... низ ;37 55 ... бит штси номер два
#насос пятнадцатой лавы ;37 68
#сопряжение пятнадцатой лавы ... верх ;37 21
#лебёдка третий заезд ;37 66
#лебёдка пятнадцатой лавы лого 15 ;37 95
#шестнадцатый пикет вентиляционной выработки пятнадцатой лавы вмцг ;37 97
#упр номер один нарядная ;34 02
#начальник упр номер один потеряяяйко николай владимирович ; 35 43 ... короткий по шлюзу 35
#забой андрющенко ... восемнадцатая лава ... упр один ;37 64
#лебедка андрющенко ... упр один ;37 33
#бункер андрющенко ... упр один ;37 27
#механик упр номер один король павел владимирович ;короткий по шлюзу 69
#упр номер два ;34 15 ... 34 17
#антонов константин юрьевич ;35 64 ... короткий по шлюзу 20
#двадцатая лава выгрузка упр номер два ;37 16
#забой якуши ... двадцатая лава ... упр номер два ;37 77 ... бит штси номер три
#двадцать шестой пикет ... лебёдка ... двадцатая лава ;37 37
#заместитель начальника упр номер два гладчук николай александрович ;короткий по шлюзу 37
#участок сргв ;34 59
#король олег владимирович ;33 72 ... короткий по шлюзу 46
#пресс на поверхности ;34 70
#пресс горизонт восемьсот двадцать четыре ;37 76
#метизный цех ;34 54
#подрывка ... перекрепление ... впв ... и ... нкх ... первая лента ... лебёдка ;37 95
#бункер ... и ... подрывка девятнадцатой лавы ;37 93
#подрывка девятнадцатая лава конвейерная выработка ;37 06
#укт ;34 07
#начальник участка укт хижняк александр иванович ;35 26 ... короткий по шлюзу 67
#кайбаш укт ;34 76
#первая сборная лента укт ;37 43
#зпвкш для девятнадцатой лавы ... сбрасывающий ;37 20
#вкпш восемсот двадцать четвертый горизонт и третья блочная лента ... питатель ;37 42
