NazRudy ; 380665456478 
#участок номер один 1 первый нарядная нарядное нарядные ;3527 
#участок номер один 1 первый начальник Хижняк Владимир Иванович ;3406 короткий 14 
#участок номер один 1 первый первого участка распред Магнитка 1 бис бит первой лавы ;3773 бит номер семь 7 
#участок номер один 1 первый 15 сбойка збойка Пятнадцатая сборка ;3746 
#участок номер один 1 первый 15 сбойка збойка Пятнадцатая сборка посадочная площадка RP РПП номер восемь 8 ;3748
#участок номер один 1 первый конвейерная выработка обработка 1 бис первой лавы Беслан без лого Беслана Белово В слова лебёдка лебедка лебидка ;3774 
#участок номер один 1 первый лебёдка в.в. 1 бис биз VV лебедка вентиляционной ветиляционные выработки ;3775 
#участок номер один 1 первый компрессор Kompressor compressor 1 первой бис без лавы Беслан Беслана Белово ;3707 
#участок номер один 1 первый Nice 1 бис низ Беслан лавы лого;3779 
#участок номер один 1 первый 1 бис без лавы первая Лента Беслан Беслана Белово 6 заезд шестой ;3788 
#участок номер один 1 первый 2 вторая Лента и 3 третья 1 первой Беслан Беслана Белово бис без лавы ;3785 
#участок номер 2 два нарядная нарядное нарядные ;3405 
#участок номер 2 два начальник Савченко Дмитрий Викторович ;3342 короткий 22 
#участок номер 2 два 1 лента 15 лавы Лента пятнадцатой лого первая главы глава ;3744 
#участок номер 2 два второго участка распред Магнитка 15 15л л глав лавы пятнадцатой низ Nice лого глава главы ;3755 бит номер два 2 
#участок номер 2 два насос 15 лавы пятнадцатой лого ;3768 
#участок номер 2 два сопряжение 15 лавы верх пятнадцатой лого главы глава вверх ;3721 
#участок номер 2 два лебёдка 3 заезд третий лебедка ;3766 
#участок номер 2 два лебёдка 15 лавы лого пятнадцатой лебедка глава главы;3795 
#участок номер 2 два 16 пикет вент vent vint вентиляционной ветиляционные выработки 15 пятнадцатой лого главы глава вверх vmsg в mcg мтг ;3797 
#упр номер 1 ипр-1 один нарядная нарядное нарядные ;3402 
#упр номер 1 ипр-1 один начальник потеряйко потеряевка потеряй Николай Владимирович ;3543 короткий 35 
#упр номер 1 ипр-1 один забой Андрющенко андрущенко андрющенка 18 лава лого упр 1 один ипр-1 ;3764 
#упр номер 1 ипр-1 один лебёдка Андрющенко лебедка андрющенка упр номер 1 один ипр-1 ;3733 
