NazRudy ; 380665456478
#Производственная служба горный горные диспетчер ;три 3 тройки 
#руководство Шахты приёмная приемная директора ;3300 
#пустой ;3301 
#мехцех мехтех начальник Хохлов Виктор Анатольевич ;3302 
#медпункт общий телефон ;3303 
#пустой ;3304 
#шгс жгс ФГС общий телефон ;3305 
#Производственная служба горный горные диспетчер ;3306 короткий 30 
#участок служба связь связи коммутатор ;3307 
#участок служба связь связи бюро ремонта кросс ;3308 
#участок служба связь связи коммутатор ;3309 
#участок ВТБ VTB Сидор сидр Федр Александр Григорьевич начальник ;3310 короткий 17 
#бухгалтерия общий телефон ;3311 
#расчётный расчетный отдел начальник отдела сиротина Валентина Фёдоровна ;3312 
#участок пазл пазлы pazzo utas утас кутас начальник кисиленко киселенко Юрий Викторович ;3313 короткий 74 
#мехцех мехтех Инструментальный интрументальный цех токарный ;3314 
#старший инженер по трудовой дисциплине нудьга Ирина Владимировна ;3315 
#Производственная служба зам заместитель главного инженера по производству шураков Игорь Владимирович ;3316 короткий 79 
#отдел кадров начальник отдела кадров отдел кадров Симонова Виктория Анатольевна ;3317 короткий 31 
#пустой ;3318 
#служба охраны охрана проходная вентиляционного вент винт венд ствола ;3319 
#главный Энергетик Пилипенко Алексей Владимирович ;3320 короткий 16 
#участок ВТБ VTB в нарядная нарядное ;3321 
#отдел Вот это Б руководство Шахты замдиректора зам директора по Володченко волощенко Евгений Викторович ;3322 короткий 12 
#столовая заведующий заведующая столовой Манько Алла Витальевна ;3323 
#служба охраны охрана начальник Федорчук Ростислав Михайлович ;3324 
#участок служба связь начальник связи начальника связью топало тупало топалова Александр Николаевич ;3325 короткий 05 
#участок прпд рптд rbtd prbb пртб рпб вакуум насосная ;3326 
#подстанция электроподстанция ;3327 
#отдела отдел материально-технического снабжения и маркетинга склад номер восемь 8 ;3328 
#участок ndgo nvda mtgo гмайл джимейл Gmail начальник наконечный Виталий Александрович ;3329 короткий 75 
#участок служба связь связи мастерская поверхностных электрослесарей связистов слесарей ;3330 
#участок служба связь связи мастерская поверхностных электрослесарей связистов слесарей ;3331 
#участок служба связь связи мастерская поверхностных электрослесарей связистов слесарей ;3332 
#пустой ;3333 
#плановый отдел статистики ;3334 
#пустой ;3335 
#пустой ;3336 
#участок служба связь связи первая соединительная линия цифровой ПТС 1 ;3337 6602 Coral 
#гараж гаражи дежурный водитель комната водителей котельной ;3338 
#участок служба связь связи десятая соединительная линия цифровой ПТС 10 ;3339 6633 Coral 
#маркшейдерский отдел главный маркшейдер цыбульник Павел Александрович ;3340 короткий 48 
#участок пазл пазлы pazzo utas утас кутас слесарка ;3341 
#участок номер 2 два начальник Савченко Дмитрий Викторович ;3342 короткий 22 
#руководство Шахты приёмная приемная директора ;3343 
#osu осу АСУ ВВЦ VC vvc начальник отдела Лысенко Елена Николаевна ;3344 короткий 32 
#маркшейдерский отдел главный геолог Федорчук Александр Николаевич ;3345 
#osu осу АСУ ВВЦ VC vvc компьютерный зал ;3346 
#прок пруп пруг пропп проб председатель Гордиенко Виктор Иванович ;3347 короткий 58 
#osu осу АСУ ВВЦ VC vvc мастерская ;3348 
#отдел кадров инжинер по спец работам бовть Ольга борть бовт ;3349 
#Производственная служба зам заместитель главного инженера по капитальному строительству капстроительства капстроительство капстроительству Новиков Максим Дмитриевич ;3350 короткий 42 
#Юж юш трансстрой транс строй ютс приемосдатчик приёмосдатчик МПС MPS ютс ;3351 
#расчётный расчетный отдел общий телефон ;3352 
#отиз отис аттис Кузьменко Татьяна Михайловна ;3353 
#водоотлива водоотливы водоотлив вентилятор главного ствола ;3354 
#отиз отис аттис sakovich Сакович соколович Сокович Роман ;3355 
#АПК APK участок шахтной поверхности Гончаров Владимир Леонидович кровельщики ;3356 
#пустой ;3357 
#электроцех электротех ;3358 
#Юж юш трансстрой транс строй ютс отдел маркетинга ;3359 
#отдела отдел материально-технического снабжения и маркетинга начальник щетина Наталья Васильевна ;3360 короткий 04 
#отдела отдел материально-технического снабжения и маркетинга общий телефон ;3361 
#проверяющие четвёртый четвертый этаж ;3362 
#участок ВТБ VTB погрузочная площадка ;3363 
#мехцех мехтех малая механизация цех малой механизации ;3364 
#финансовый финансовое отдел Трусова Елена Леонидовна ;3365 короткий 19 
#главный механик Кошелев Андрей Васильевич ;3366 короткий 78 
#главный механик Кошелев Андрей Васильевич квартира квартирный домашний ;3367 
#отдела отдел материально-технического снабжения и маркетинга начальник сбыта Яковлева Наталья Валерьевна ;3368 
#отдел Вот это Б общий телефон начальник смены по охране труда ;3369 
#руководство Шахты заместитель зам директора замдиректора по экономическим вопросам главный экономист экономике волощенко Оксана Вадимовна ;3370 короткий 21 
#пустой ;3371 
#участок srgb srvv rgv srw скпт король Олег Владимирович ;3372 короткий 46 
#участок ВТБ VTB мастер по ремонту приборов ;3373 
#отиз отис аттис начальник отдела Игнатенко Александр Владимирович гнатенко ;3374 короткий 26 
#ПТК нарядная ptk ;3375 
#пустой ;3376 
#помошник директора по правовым вопросам Карабань Виталий Александрович ;3377 короткий 76 
#отдела отдел материально-технического снабжения и маркетинга склад тяжёлого оборудования вклад тяжелого ;3378 
#ПТК ptk оператор погрузки в вагоны ;3379 
#орзо Мирзо rst.ua гидравлика цех гидравлики ;3380 
#служба главного механика инженер ппр и паспортист паспортистка ;3381 
#отдел Вот это Б общий телефон начальник смены по охране труда ;3382 
#шгс жгс ФГС электрослесаря ;3383 
#участок пазл пазлы pazzo utas утас кутас оператор огэ АГЗС а.г. ;3384 
#ПТК начальник ptk карачевская Наталья Генадьевна ;3385 короткий 33 
#гараж гаражи диспетчер автотранспорта по автотранспорту ;3386 
#участок ВТБ VTB сатуратор на я сатурация ная ;3387 
#osu осу АСУ ВВЦ VC vvc программисты программист ;3388 
#строит строить всех общий телефон начальник Синицына Светлана Евгеньевна ;3389 короткий 55 
#руководство Шахты главный инженер соком сакун sakun соколан Александр Сергеевич ;3390 короткий 77 
#osu осу АСУ ВВЦ VC vvc Беляев Олег Николаевич ;3391 
#орзо Мирзо rst.ua нарядная нарядное нарядные Козубов козубов Евгений Викторович ;3392 короткий 45 
#бухгалтерия общий телефон ;3393 
#служба охраны охрана в АБК АПК ОПК 1 первый этаж ;3394 
#служба главного технолога техотдел тех отдел главный технолог жевлаков Владимир Сергеевич ;3395 короткий 64 
#пустой ;3396 
#служба охраны охрана проходная воздуха подающего падающего ствола стола ;3397 
#участок начальник ОТК АТК Коваль Наталья Семёновна ;3398 короткий 62 
#ПТК ptk электрослесаря слесаря электро 24 отметка двадцать четвёртая четвертая ;3399 
#участок пазл пазлы pazzo utas утас кутас нарядное нарядная ;3400 
#пустой ;3401 
#пустой ;3402 
#пустой ;3403 
#пустой ;3404 
#участок номер 2 два нарядная нарядное нарядные ;3405 
#участок номер один 1 первый начальник Хижняк Владимир Иванович ;3406 короткий 14 
#участок нарядная нарядное укэ укт у Кати кота ;3407 
#участок ВТБ VTB противопожарный противопожарные противопожарная склад кайбаш айбаш кабош ВТБ VTB ;3408 
#участок служба связь связи мастерская подземных электрослесарей связистов слесарей ;3409 
#водоотлива водоотливы водоотлив насосная насосные насосное богоявленке богоявленки ;3410 
#участок служба связь связи кросс прибор номер один 1 ;3411 
#баня бани женская ;3412 
#котельная котельные котельной угле угли подача ;3413 
#участок вшт вышиты высоте нарядная нарядное ;3414 
#упр номер 2 два нарядная нарядное нарядные ;3415 
