NazRudy ; 380665456478
#Участок №1 ;35-27
#Начальник участка №1 Хижняк Владимир Иванович ;34-06, кор.шлюз-14
#Распред 1бис лавы ;37-73, ШТСИ бит №7
#15 сбойка ;37-46
#15 сбойка посадочная площадка, РП №8 ;37-48
#Конвеерная выработка 1 бис лавы и лебёдка ;37-74
#Лебёдка вентиляционной выработки 1 бис лавы ;37-75
#Компрессор 1 бис лавы ;37-07
#Низ 1 бис лавы ;37-79
#1 лента 1 бис лавы и 6 заезд ;37-88
#2 лента и 3 лента 1 бис лавы ;37-85
#Участок №2 ;34-05
#Начальник участка №2 Савченко Дмитрий Викторович ;33-42, кор.шлюз-22
#1 лента 15 лавы ;37-44
#Распред 15 лавы (низ) ;37-55, ШТСИ бит №2
#Насос 15 лавы ;37-68
#Сопряжение 15 лавы (верх) ;37-21
#Лебёдка 3 заезд ;37-66
#Лебёдка 15 лавы ;37-95
#ВМЦГ 15 лавы 16 пикет вв. ;37-97
#УПР №1 нарядная ;34-02
#Начальник УПР №1 Потеряйко Николай Владимирович ; 35-43, кор.шлюз-35
#з. Андрющенко (18 лава) ;37-64
#лебедка Андрющенко ;37-33
#бункер Андрющенко ;37-27
#УПР №1 механик Король Павел Владимирович ;кор.шлюз-69
#УПР №2 ;34-15, 34-17
#УПР №2 начальник Антонов Константин Юрьевич ;35-64, кор.шлюз-20
#20 лава выгрузка ;37-16
#забой Якуши (20 лава) ;37-77, ШТСИ бит №3
#26п. лебёдка (20 лава) ;37-37
#УПР №2 зам.начальника Гладчук Николай Александрович ;кор.шлюз-37 
#Участок СРГВ ;34-59
#Король Олег Владимирович ;33-72, кор.шлюз-46
#Пресс на поверхности ;34-70
#Пресс г.824 ;37-76
#Метизный цех ;34-54
#Подрывка, перекрепление ВПВ и НКХ 1л., лебёдка ;37-95
#Бункер (подрывка 19лавы) ;37-93
#Подрывка 19лава(конв.выр-ка) ;37-06
#УКТ ;34-07
#Начальник УКТ Хижняк Александр Иванович ;35-26, кор.шлюз-67
#Кайбаш УКТ ;34-76
#1-я сборная лента УКТ ;37-43
#ЗПВКШ для 19лавы (сбрасывающий) ;37-20
#ВКПШ 824г.(3-я блочная лента питатель) ;37-42
#1 лента НКХ 15 лавы ;37-22
#Питатель 19 лавы ;37-87
#ЗПВКШ 3 привод ;37-91
#Питатель ЗПВКШ 1 ;37-10
#5 блочная лента ;37-78
#3 лента ЗПВКШ натяжная ;37-27
#2 лента НКХ 15 лавы ;37-17
#Участок ПРпоТБ ;35-89
#Начальник ПРпоТБ Пономаренко Ростислав Александрович ;35-81, кор.шлюз-41
#Вакуумнасосная ;37-34
#Вакуумнасосная ;39-12
#Вакуумнасосная ;33-26
#Вакуумнасосная ;35-99
#Вакуумнасосная ;34-24
#ПРпоТБ склад ;34-33
#Квершлаг, подрывка 19 лавы ;37-65
#Участок ВТБ нарядная ;33-21
#Начальник ВТБ Сыдор Александр Григорьевич ;33-10, кор.шлюз-17
#Противопожарный склад, кайбаш ВТБ ;34-08
#Погашение к.в. 14 лавы ;37-45
#Участок ВТБ Малофиенко Вячеслав Валерьевич ; кор.шлюз-57
#Участок ГМУ(МДГО) ;34-73
#Начальник ГМУ Наконечный Виталий Александрович ;33-29, кор.шлюз-75
#Кайбаш ГМУ ;34-01
#Лебёдка №2 ГМУ ;37-75
#Доставка ГМУ 6 пикет ;37-72
#18 лава монтажный ходок ;37-26
#Участок ВШТ ; 34-14, 34-36
#Начальник ВШТ Сидоренко Максим Викторович ;35-36
#Кайбаш ВШТ ;35-13
#Кайбаш ВШТ БАМ ;34-91
