NazRudy ; 380665456478
#Горный диспетчер ;333
#Приёмная директора ;33-00
#Пустой ;33-01
#Начальник мехцеха Хохлов Виктор Анатольевич ;33-02
#Медпункт общий телефон ;33-03
#Пустой ;33-04
#ШГС общий телефон ;33-05
#Горный диспетчер ;33-06, кор.шлюз-30
#Коммутатор ;33-07
#Бюро ремонта, кросс ;33-08
#Коммутатор ;33-09
#Начальник ВТБ Сыдор Александр Григорьевич ;33-10, кор.шлюз-17
#Бухгалтерия общий телефон ;33-11
#Начальник расчётного отдела Сиротина Валентина Фёдоровна ;33-12
#ПАЗ УТАС начальник Кисиленко Юрий Викторович ;33-13, кор.шлюз-74
#Инструментальный цех ;33-14
#Старший инженер по трудовой дисциплине Нудьга Ирина Владимировна ;33-15
#Зам. гл.инженера по производству Шураков Игорь Владимирович ;33-16, кор.шлюз-79
#Начальник отдела кадров Симонова Виктория Анатольевна ;33-17, кор.шлюз-31
#Пустой ;33-18
#Проходная вент.ствола ;33-19
#Главный энергетик Пилипенко Алексей Владимирович ;33-20, кор.шлюз-16
#Участок ВТБ нарядная ;33-21
#Зам. директора по ОТ и ТБ Волощенко Евгений Викторович ;33-22, кор.шлюз-12
#Зав. столовой Манько Алла Витальевна ;33-23
#Начальник службы охраны Федорчук Ростислав Михайлович ;33-24
#Начальник связи Топало Александр Николаевич ;33-25, кор.шлюз-05
#Вакуумнасосная ;33-26
#Электроподстанция ;33-27
#Склад №8 ;33-28
#Начальник ГМУ Наконечный Виталий Александрович ;33-29, кор.шлюз-75
#Мастерская поверхностных связистов ;33-30
#Мастерская поверхностных связистов ;33-31
#Мастерская поверхностных связистов ;33-32
#Пустой ;33-33
#Отдел статистики ;33-34
#Пустой ;33-35
#Пустой ;33-36
#1-я с.л. ЦАТС ;33-37 Coral(6602)
#Дежурный водитель в котельной ;33-38
#10-я с.л. ЦАТС ;33-39 Coral(6633)
#Главный маркшейдер Цыбульник Павел Александрович ;33-40, кор.шлюз-48
#ПАЗ УТАС слесарка ;33-41
#Начальник участка №2 Савченко Дмитрий Викторович ;33-42, кор.шлюз-22
#Приёмная директора ;33-43
#ВЦ АСУ начальник Лысенко Елена Николаевна ;33-44, кор.шлюз-32
#Главный геолог Федорчук Александр Николаевич ;33-45
#ВЦ АСУ компьютерный зал ;33-46
#ПРУП председатель Гордиенко Виктор Иванович ;33-47, кор.шлюз-58
#ВЦ АСУ мастерская ;33-48
#Инженер по спецработам Бовть Ольга В. ;33-49
#Зам. гл.инженера по капитальному строительству Новиков Максим Дмитриевич ;33-50, кор.шлюз-42
#ЮТС приёмосдатчик МПС ;33-51
#Расчётный отдел ;33-52
#ОТИЗ Кузьменко Татьяна Михайловна ;33-53
#Вентилятор главного ствола ;33-54
#ОТИЗ Сокович Роман ;33-55
#Участок шахтной поверхности Гончаров Владимир Леонидович (кровельщики);33-56
#Пустой ;33-57
#Электроцех ;33-58
#ЮТС отдел маркетинга ;33-59
#Щитина Наталья Васильевна начальник отдела материально-технического снабжения и маркетинга ;33-60, кор.шлюз-04
#Общий телефон отдела материально-технического снабжения и маркетинга ;33-61
#Проверяющие (4этаж) ;33-62
#Погрузочная площадка ;33-63
#Малая механизация ;33-64
#Финансовый отдел начальник Трусова Елена Леонидовна ;33-65, кор.шлюз-19
#Главный механик Кошелев Андрей Васильевич ;33-66, кор.шлюз-78
#Главный механик Кошелев Андрей Васильевич (домашний) ;33-67
#Яковлева Наталья Валерьевна начальник сбыта ;33-68
#Отдел ОТ и ТБ общий телефон ;33-69
#Гглавный экономист Волощенко Оксана Вадимовна ;33-70, кор.шлюз-21
#Пустой ;33-71
#Нарядная СРГВ, Король Олег Владимирович ;33-72 кор.шлюз-46
#Мастер по ремонту приборов ;33-73
#Начальник отдела ОТИЗ Игнатенко Александр Владимирович ;33-74, кор.шлюз-26
#ПТК нарядная ;33-75
#Пустой ;33-76
#Помошник директора по правовым вопросам Карабань Виталий Александрович ;33-77, кор.шлюз-76
#Склад тяжёлого оборудования ;33-78
#Оператор погрузки в вагоны ;33-79
#РЗО гидравлика ;33-80
#Инженер ППР паспортист ;33-81
#Отдел ОТ и ТБ общий телефон ;33-82
#ШГС электрослесаря ;33-83
#ПАЗ оператор АГЗ ;33-84
#Начальник ПТК Карачевская Наталья Генадьевна ;33-85, кор.шлюз-33
#Диспетчер автотранспорта ;33-86
#Сатураторная ;33-87
#ВЦ АСУ программисты ;33-88
#Стройцех общий телефон, начальник Синицына Светлана Евгеньевна ;33-89 кор.шлюз-55
#Главный инженер Сокун Александр Сергеевич ;33-90, кор.шлюз-77
#ВЦ АСУ Беляев Олег Николаевич ;33-91
#Нарядная РЗО, Козубов Евгений Викторович ;33-92, кор.шлюз-45
#Бухгалтерия общий телефон ;33-93
#Охрана в АБК 1-ый этаж ;33-94
#Главный технолог Жевлаков Владимир Сергеевич ;33-95, кор.шлюз-64
#Пустой ;33-96
#Проходная возд.под.ствола ;33-97
